id,name,salary
1,Kiran,99097
2,Kiran,88574
3,Ram,46411
4,Binod,82342
5,Ram,81370
6,Sita,109540
7,Sita,107456
8,Gita,115496
9,Rohit,32938
10,Hari,106856
11,Binod,40634
12,Hari,46225
13,Binod,108115
14,Anita,71942
15,Hari,68807
16,Ram,119545
17,Rohit,47598
18,Kiran,111343
19,Anita,45517
20,Anita,61917
21,Sita,117422
22,Kiran,88808
23,Sita,110388
24,Binod,52413
25,Kiran,101109
26,Kiran,36751
27,Ram,110696
28,Ram,78460
29,Kiran,65441
30,Kiran,61495
31,Ram,89350
32,Rohit,87877
33,Binod,87307
34,Hari,84342
35,Anita,49779
36,Gita,35008
37,Rohit,68816
38,Binod,111957
39,Anita,115235
40,Hari,88510
41,Anita,98131
42,Gita,112138
43,Gita,117454
44,Gita,95391
45,Gita,110113
46,Anita,53457
47,Gita,113920
48,Binod,39259
49,Hari,46666
50,Hari,80519
51,Gita,76072
52,Ram,101241
53,Hari,83909
54,Anita,32400
55,Gita,85191
56,Sita,79345
57,Gita,66458
58,Anita,52452
59,Binod,54594
60,Rohit,62675
61,Hari,36496
62,Anita,67436
63,Sita,59859
64,Binod,63837
65,Sita,68322
66,Ram,54922
67,Ram,74614
68,Rohit,85222
69,Binod,63905
70,Hari,58474
71,Anita,35377
72,Binod,51083
73,Kiran,69194
74,Binod,52386
75,Gita,33153
76,Hari,98850
77,Gita,61658
78,Kiran,102850
79,Hari,43977
80,Anita,44467
81,Rohit,83205
82,Sita,41188
83,Hari,69538
84,Sita,56187
85,Sita,93143
86,Rohit,118921
87,Sita,84867
88,Binod,89767
89,Hari,61869
90,Gita,53710
91,Binod,33800
92,Rohit,85373
93,Binod,93978
94,Rohit,39641
95,Sita,89607
96,Rohit,71903
97,Hari,118497
98,Binod,116717
99,Rohit,106412
100,Hari,77476
101,Hari,40824
102,Hari,61989
103,Kiran,46688
104,Kiran,104098
105,Binod,48966
106,Sita,111455
107,Binod,69857
108,Kiran,44880
109,Kiran,111488
110,Sita,65651
111,Sita,34215
112,Kiran,90261
113,Gita,88644
114,Hari,49723
115,Gita,77993
116,Gita,100120
117,Hari,30752
118,Kiran,87657
119,Binod,111020
120,Rohit,83259
121,Rohit,119460
122,Rohit,95389
123,Binod,117645
124,Binod,86009
125,Kiran,54401
126,Anita,106544
127,Binod,43135
128,Kiran,95037
129,Hari,118622
130,Gita,72102
131,Ram,96780
132,Gita,94988
133,Gita,33274
134,Kiran,102995
135,Gita,65199
136,Ram,70897
137,Ram,104881
138,Gita,82366
139,Ram,40639
140,Sita,42855
141,Ram,35966
142,Kiran,56735
143,Rohit,63286
144,Ram,44888
145,Binod,119497
146,Sita,65785
147,Rohit,32525
148,Kiran,81693
149,Sita,75963
150,Ram,57332
151,Gita,41248
152,Binod,70365
153,Hari,100123
154,Binod,112421
155,Hari,97097
156,Sita,109390
157,Hari,88025
158,Sita,68490
159,Ram,62411
160,Anita,83594
161,Sita,102119
162,Hari,97062
163,Kiran,80996
164,Kiran,62597
165,Kiran,89719
166,Binod,97192
167,Anita,58449
168,Binod,39210
169,Rohit,91514
170,Sita,110116
171,Anita,39066
172,Rohit,111343
173,Hari,48478
174,Sita,77803
175,Rohit,59786
176,Hari,94519
177,Sita,114429
178,Gita,62965
